id,name,price,publisher_id,publication_date,isbn10,isbn13,detail_info,image_url,created_at,updated_at,active,link,author,isbn,publisher
352,"퀀트 투자 무작정 따라하기",25000,110,2022-09-29,1140701495,9791140701490,,,"2022-09-29 04:00:44","2022-09-29 04:00:44",1,https://search.daum.net/search?w=bookpage&bookId=6172939&q=%ED%80%80%ED%8A%B8+%ED%88%AC%EC%9E%90+%EB%AC%B4%EC%9E%91%EC%A0%95+%EB%94%B0%EB%9D%BC%ED%95%98%EA%B8%B0,NULL,NULL,NULL
353,"부자 아빠 가난한 아빠 1(20주년 특별 기념판)(개정증보판)",15800,199,2018-02-22,1158883595,9791158883591,"기존 《부자 아빠 가난한 아빠》 제1권에는 없던 41개의 ‘20년 전 그리고 오늘’과 10가지 ‘스터디 세션’ 등 총 500매 분량의 새로운 내용을 추가한 『부자 아빠 가난한 아빠(20주년 특별 기념판)』. 돈에 대한 선입관을 깨뜨리는 파격적인 내용과 세월이 흘러도 흔들리지 않는 기준이 되어 줄 투자의 원칙들을 담은 책이다.  저자가 유년 시절 겪은 두 아버지를 통해 가난한 사람과 부자의 사고방식을 비교한다. 직설적인 화법과 몰입도 있는 스토리텔링",https://search1.kakaocdn.net/thumb/R120x174.q85/?fname=http%3A%2F%2Ft1.daumcdn.net%2Flbook%2Fimage%2F1590611%3Ftimestamp%3D20220930222936,"2022-10-01 04:00:21","2022-10-01 04:00:21",1,https://search.daum.net/search?w=bookpage&bookId=1590611&q=%EB%B6%80%EC%9E%90+%EC%95%84%EB%B9%A0+%EA%B0%80%EB%82%9C%ED%95%9C+%EC%95%84%EB%B9%A0+1%2820%EC%A3%BC%EB%85%84+%ED%8A%B9%EB%B3%84+%EA%B8%B0%EB%85%90%ED%8C%90%29%28%EA%B0%9C%EC%A0%95%EC%A6%9D%EB%B3%B4%ED%8C%90%29,NULL,NULL,NULL
354,"하늘에서 동아줄이 내려올 줄이야(양장본 Hardcover)",16000,200,2022-09-29,1157856020,9791157856022,"동아줄을 타고 올라가 새로운 세상을 만난 사람의 마음처럼 그림책을 읽을 때 같은 마음이 들어요. 이런 세계도 있구나, 이렇게 좋은 세계가 있구나, 이런 독서가 있구나, 하는 마음이요.   - 최민지 작가 인터뷰 중에서 -  《문어 목욕탕》, 《나를 봐》 등으로 아이부터 어른까지 전 연령층의 그림책 독자에게 사랑받는 최민지 작가의 다섯 번째 그림책. 우리가 책을 읽을 때 어떤 일들이 벌어지는지, 이미지만으로 보여주는 글 없는 그림책이다. 한국 옛",https://search1.kakaocdn.net/thumb/R120x174.q85/?fname=http%3A%2F%2Ft1.daumcdn.net%2Flbook%2Fimage%2F6175279%3Ftimestamp%3D20221006084328,"2022-10-06 04:00:42","2022-10-06 04:00:42",1,https://search.daum.net/search?w=bookpage&bookId=6175279&q=%ED%95%98%EB%8A%98%EC%97%90%EC%84%9C+%EB%8F%99%EC%95%84%EC%A4%84%EC%9D%B4+%EB%82%B4%EB%A0%A4%EC%98%AC+%EC%A4%84%EC%9D%B4%EC%95%BC%28%EC%96%91%EC%9E%A5%EB%B3%B8+Hardcover%29,NULL,NULL,NULL
355,"사회사상의 역사(양장본 Hardcover)",33000,201,2022-10-06,1192247426,9791192247427,,https://search1.kakaocdn.net/thumb/R120x174.q85/?fname=http%3A%2F%2Ft1.daumcdn.net%2Flbook%2Fimage%2F6181197%3Ftimestamp%3D20221006092729,"2022-10-06 04:00:43","2022-10-06 04:00:43",1,https://search.daum.net/search?w=bookpage&bookId=6181197&q=%EC%82%AC%ED%9A%8C%EC%82%AC%EC%83%81%EC%9D%98+%EC%97%AD%EC%82%AC%28%EC%96%91%EC%9E%A5%EB%B3%B8+Hardcover%29,NULL,NULL,NULL
356,"작은 땅의 야수들",18000,202,2022-09-28,1130693929,9791130693927,"마침내 우리가 기다려온 가장 한국적이고 가장 세계적인 이야기! 『파친코』를 잇는 한국적 서사의 새로운 주역 한국계 미국인 작가 김주혜의 놀라운 데뷔작  “먼 나라에서 도래한 우리 이야기, 새로운 정통의 출현을 알리는 신호탄! 이것은 하나의 거스를 수 없는 흐름, 크고 거센 흐름이다.” _소설가 박서련(한겨레문학상 수상작 『체공녀 강주룡』 저자)",https://search1.kakaocdn.net/thumb/R120x174.q85/?fname=http%3A%2F%2Ft1.daumcdn.net%2Flbook%2Fimage%2F6170534%3Ftimestamp%3D20221006082008,"2022-10-06 04:00:43","2022-10-06 04:00:43",1,https://search.daum.net/search?w=bookpage&bookId=6170534&q=%EC%9E%91%EC%9D%80+%EB%95%85%EC%9D%98+%EC%95%BC%EC%88%98%EB%93%A4,NULL,NULL,NULL
357,"흔한남매의 흔한 호기심 7",14000,65,2022-10-12,1168413931,9791168413931,"구독자 수 242만 명의 인기 유튜브 크리에이터, 흔한남매가 과학 학습 만화로 찾아왔습니다. 학습 만화라서 어렵고 딱딱할 것이라는 생각은 금물! 이 책은 유머러스한 에피소드 '만화'와 말랑말랑한 과학 '정보' 페이지, 핵심 키워드를 담은 '퀴즈', 그리고 마지막으로 성취감을 길러 줄 '특별 칭찬 상장'까지 지루할 틈 없는 흥미로운 구성으로 가득하니까요. 《흔한남매의 흔한 호기심》으로 배꼽 잡는 재미와 과학 호기심을 동시에 잡아 보세요.",https://search1.kakaocdn.net/thumb/R120x174.q85/?fname=http%3A%2F%2Ft1.daumcdn.net%2Flbook%2Fimage%2F6177424%3Ftimestamp%3D20221006091050,"2022-10-06 04:00:43","2022-10-06 04:00:43",1,https://search.daum.net/search?w=bookpage&bookId=6177424&q=%ED%9D%94%ED%95%9C%EB%82%A8%EB%A7%A4%EC%9D%98+%ED%9D%94%ED%95%9C+%ED%98%B8%EA%B8%B0%EC%8B%AC+7,NULL,NULL,NULL
358,"도쿄 에일리언즈 4(아크릴 굿즈 한정판)",33000,151,2022-10-25,1136756108,9791136756107,"어렸을 때, 하쿠긴의 공격을 받은 자신과 여동생을 구한 건 군지 아키라라고 확신한 텐쿠바시 쇼우. 그러나 크리스티나가 텐쿠바시에게 밝힌 건 그것과는 다른 극비 정보였다. 한편, 군지 아키라는 텐쿠바시에게 도움이 되고자 매일 특훈에 매진하는데…. 깊어지는 수수께끼와 각각의 생각이 교차하는 세상을 뒤흔들 에일리언 코믹 제4권!!  ⓒNAOE/SQUARE ENIX",https://search1.kakaocdn.net/thumb/R120x174.q85/?fname=http%3A%2F%2Ft1.daumcdn.net%2Flbook%2Fimage%2F6173585%3Ftimestamp%3D20221006082008,"2022-10-06 04:00:44","2022-10-06 04:00:44",1,https://search.daum.net/search?w=bookpage&bookId=6173585&q=%EB%8F%84%EC%BF%84+%EC%97%90%EC%9D%BC%EB%A6%AC%EC%96%B8%EC%A6%88+4%28%EC%95%84%ED%81%AC%EB%A6%B4+%EA%B5%BF%EC%A6%88+%ED%95%9C%EC%A0%95%ED%8C%90%29,NULL,NULL,NULL
359,"올리버쌤의 미국식 아이 영어 습관 365",23000,148,2022-10-06,1130626652,9791130626659,"일상생활에서 자연스럽게 영어를 알려주며 209만 구독자에게 사랑받는 올리버쌤이 아이를 위한 일력을 출간했다. 매일 한 장씩 아이와 함께 넘겨 보며 영어 자신감을 키울 수 있는 만년 일력이다. 미국 가정집에서 매일 사용하는 쉽고 간단하면서도 일상을 모두 표현할 수 있는 필수 영어 문장과 단어를 엄선했다. 어떤 상황에서 어떻게 아이에게 말해주면 좋을지 친절하고 다정한 올리버쌤의 설명을 곁들이고, 올리버쌤의 영어발음을 직접 들을 수 있도록 했다. 사랑",https://search1.kakaocdn.net/thumb/R120x174.q85/?fname=http%3A%2F%2Ft1.daumcdn.net%2Flbook%2Fimage%2F6171169%3Ftimestamp%3D20221006093228,"2022-10-06 04:00:44","2022-10-06 04:00:44",1,https://search.daum.net/search?w=bookpage&bookId=6171169&q=%EC%98%AC%EB%A6%AC%EB%B2%84%EC%8C%A4%EC%9D%98+%EB%AF%B8%EA%B5%AD%EC%8B%9D+%EC%95%84%EC%9D%B4+%EC%98%81%EC%96%B4+%EC%8A%B5%EA%B4%80+365,NULL,NULL,NULL
360,"반짝이는 하루, 그게 오늘이야",16800,63,2022-10-20,1158741685,9791158741686,"“진정한 ‘나’를 찾아가는 100가지 질문과 365개의 대답”  영·미를 강타한 아마존 베스트셀러! 따분한 일상을 유쾌하게 바꿔줄 다이어리 북  동화처럼 아름다운 문장과 나를 돌아보게 하는 질문들은 길 잃은 사람들을 위로하고 부서진 내 마음을 다독인다. 단순한 일기책이 아닌, 진정으로 나를 사랑하는 방법을 알려주는 마법과 같은 ‘다이어리 북’이다. 이미 미국과 영국의 많은 독자에게 찬사를 받으며 베스트셀러에 올랐다. 하루 10분, 책에 담긴 100",https://search1.kakaocdn.net/thumb/R120x174.q85/?fname=http%3A%2F%2Ft1.daumcdn.net%2Flbook%2Fimage%2F6173101%3Ftimestamp%3D20221006100519,"2022-10-06 04:00:44","2022-10-06 04:00:44",1,https://search.daum.net/search?w=bookpage&bookId=6173101&q=%EB%B0%98%EC%A7%9D%EC%9D%B4%EB%8A%94+%ED%95%98%EB%A3%A8%2C+%EA%B7%B8%EA%B2%8C+%EC%98%A4%EB%8A%98%EC%9D%B4%EC%95%BC,NULL,NULL,NULL
361,"김승옥문학상 수상작품집(2022)",10000,11,2022-09-30,8954688691,9788954688697,"“정확한 디테일, 적절한 상징, 공감어린 시선, 깊은 여운”  일 년을 영글어 더욱 깊어진 일곱 개의 결정(結晶) 한국문학이 자부하는 오늘의 이름들  등단 후 10년이 넘은 작가들이 한 해 동안 발표한 단편소설 가운데 가장 뛰어난 7편을 뽑아 선보이는 김승옥문학상은 한국문학의 정수를 탐사하는 여정으로 굳건히 자리매김하고 있다. 올해는 2021년 7월부터 2022년 6월까지 주요 문예지와 웹진, 독립문예지를 포함한 총 26개 문예지의 171편이 심사",https://search1.kakaocdn.net/thumb/R120x174.q85/?fname=http%3A%2F%2Ft1.daumcdn.net%2Flbook%2Fimage%2F6176642%3Ftimestamp%3D20221006090132,"2022-10-06 04:00:45","2022-10-06 04:00:45",1,https://search.daum.net/search?w=bookpage&bookId=6176642&q=%EA%B9%80%EC%8A%B9%EC%98%A5%EB%AC%B8%ED%95%99%EC%83%81+%EC%88%98%EC%83%81%EC%9E%91%ED%92%88%EC%A7%91%282022%29,NULL,NULL,NULL
362,"나쁜 회사 재무제표",19000,156,2022-09-29,1192488113,9791192488110,"- 전 삼일회계법인, 현 선일회계법인 이대훈 회계사의 실전 노하우 - 구체적 사례를 통한 투자 기업 분석 비법 - 2022년 데이터 반영 상장폐지 재무제표 요건 - 달라진 법 규정 및 제도 완벽 반영 - 재무제표를 읽는데 반드시 필요한 체크 포인트!  투자에 성공한 경험과 그 비결을 나열하는 책은 많다. 하지만 놀라운 경험과 특출난 비결도 투자자 개인이 처한 상황에 따라 무한대로 달라질 수밖에 없다. 수익률도 천차만별이다. 《나쁜 회사 재무제표",https://search1.kakaocdn.net/thumb/R120x174.q85/?fname=http%3A%2F%2Ft1.daumcdn.net%2Flbook%2Fimage%2F6179947%3Ftimestamp%3D20221005051132,"2022-10-06 04:00:45","2022-10-06 04:00:45",1,https://search.daum.net/search?w=bookpage&bookId=6179947&q=%EB%82%98%EC%81%9C+%ED%9A%8C%EC%82%AC+%EC%9E%AC%EB%AC%B4%EC%A0%9C%ED%91%9C,NULL,NULL,NULL
